"it_algo","diff_f","diff_g","error_in","error_out","max_diff_flow","couple_1","couple_2"
131,1.20550108702779e-06,3.65295068990778e-07,1.01290060898106e-07,3.08190839331253e-07,4.2454017080405,1035,876
132,1.20133668095519e-06,3.64177874297734e-07,1.00876402824475e-07,3.06015348839248e-07,4.21733094382716,1035,876
133,1.19723032852933e-06,3.6306773312888e-07,1.00463143950496e-07,3.03863701988698e-07,4.18962887888131,1035,876
134,1.19317929473186e-06,3.61966275550119e-07,1.00051508339636e-07,3.01736441368333e-07,4.16228829804811,1035,876
135,1.18918405417592e-06,3.60874667813135e-07,9.96425226728606e-08,2.99634033199047e-07,4.13530217315133,1035,876
136,1.18524293093618e-06,3.59793789021245e-07,9.92370499089512e-08,2.97556844405994e-07,4.1086636569471,1035,876
137,1.18135290670304e-06,3.58724330837813e-07,9.88358028848492e-08,2.95505150380462e-07,4.08236607730271,1035,876
138,1.1775141665918e-06,3.57667096425491e-07,9.84393597364408e-08,2.93479121122083e-07,4.05640293164322,1035,876
139,1.17373003669409e-06,3.56622073899384e-07,9.80479093382558e-08,2.91478423166096e-07,4.03076788163514,1035,876
140,1.16999782629946e-06,3.55589592293497e-07,9.76617948699794e-08,2.89503255467804e-07,4.00545474916885,1035,876
141,1.16631637909828e-06,3.54569604864623e-07,9.72813425063216e-08,2.87553537071352e-07,3.98045750860285,1035,876
142,1.1626863300762e-06,3.53562423698194e-07,9.69067774133956e-08,2.85629163406155e-07,3.95577028411913,1035,876
143,1.15910501824332e-06,3.5256813105233e-07,9.65382014146875e-08,2.83729940166285e-07,3.93138734452771,1035,876
144,1.15557360000249e-06,3.51586756711133e-07,9.61756630689505e-08,2.81855567002082e-07,3.90730309915898,1035,876
145,1.15209172229952e-06,3.50618296737322e-07,9.58191553605549e-08,2.80005682510338e-07,3.88351209353232,1035,876
146,1.14865782949908e-06,3.49662211948547e-07,9.54701935575559e-08,2.78178309663641e-07,3.86000900513909,1035,876
147,1.14527385019133e-06,3.48720479784085e-07,9.51301730354019e-08,2.76372099773587e-07,3.83678850214949,1035,876
148,1.14194472044891e-06,3.4779574628845e-07,9.47973342277311e-08,2.7458877665299e-07,3.81384540501381,1035,876
149,1.13866906581997e-06,3.46885563311188e-07,9.44708472866201e-08,2.72828037365585e-07,3.79117494569471,1035,876
150,1.13543548806228e-06,3.45989197292749e-07,9.41501018449646e-08,2.7108968674675e-07,3.76877234952235,1035,876
151,1.13224419622986e-06,3.4510578303756e-07,9.38346761746142e-08,2.69373188591027e-07,3.74663290365447,1035,876
152,1.12909343007095e-06,3.44234643269517e-07,9.35242345953624e-08,2.67678002997275e-07,3.72475199961627,1035,876
153,1.12598186949375e-06,3.43375213690396e-07,9.32184960162724e-08,2.66003611514973e-07,3.70312513570275,1035,876
154,1.12290967132367e-06,3.42527022815153e-07,9.29172169493306e-08,2.64349526076949e-07,3.68174791410058,1035,876
155,1.11987624621935e-06,3.41689664409311e-07,9.26201801288742e-08,2.6271528211639e-07,3.6606160378841,1035,876
156,1.11688174008923e-06,3.40862782095743e-07,9.23271888319323e-08,2.61100434689304e-07,3.63972530813408,1035,876
157,1.11392681547755e-06,3.40046054180892e-07,9.2038062867308e-08,2.5950455535223e-07,3.61907162117541,1035,876
158,1.11100832054965e-06,3.39239190863905e-07,9.17526362281492e-08,2.57927231576519e-07,3.5986509659009,1035,876
159,1.10812599343057e-06,3.38441920159773e-07,9.14707549635584e-08,2.56368065787643e-07,3.57845942117206,1035,876
160,1.10527958817811e-06,3.37653990688333e-07,9.11922771605218e-08,2.54826674057708e-07,3.55849315332603,1035,876
161,1.10246899628097e-06,3.36875167186217e-07,9.0917071194754e-08,2.53302687024578e-07,3.5387484137417,1035,876
162,1.09970025286425e-06,3.36101661763865e-07,9.06756072763651e-08,2.5176516029112e-07,3.51922153650332,1035,876
163,1.09692384447645e-06,3.35404081224048e-07,9.045824853607e-08,2.50230289758902e-07,3.49990887474792,1035,876
164,1.09415834469472e-06,3.34703748342979e-07,9.02139018616578e-08,2.48746976723011e-07,3.4808070017699,1035,876
165,1.09148092527528e-06,3.33990258453574e-07,8.99636828798961e-08,2.47282882097094e-07,3.46191255553481,1035,876
166,1.08885352036951e-06,3.33279843023234e-07,8.97110983043356e-08,2.45838175134568e-07,3.44322202376497,1035,876
167,1.08627308888716e-06,3.32571396379892e-07,8.94585202556712e-08,2.44409273428837e-07,3.42473218010332,1035,876
168,1.08373101430988e-06,3.31866390188095e-07,8.92067761416414e-08,2.42995350501169e-07,3.40643982310871,1035,876
169,1.08122209021802e-06,3.3116556013779e-07,8.89563952126873e-08,2.41596017018365e-07,3.38834180511594,1035,876
170,1.07874386278858e-06,3.30469782895113e-07,8.87077143767643e-08,2.40211166991803e-07,3.3704350450621,1035,876
171,1.07629633527549e-06,3.29779469577363e-07,8.84608266817048e-08,2.38840616348725e-07,3.35271652655365,1035,876
172,1.07388013301527e-06,3.29094890475668e-07,8.82159086372456e-08,2.37484201170932e-07,3.33518329690332,1035,876
173,1.07149686299031e-06,3.28416305540965e-07,8.79730589313063e-08,2.36141759207537e-07,3.31783246495615,1035,876
174,1.06914289270147e-06,3.27743913713527e-07,8.77323403663886e-08,2.34813102183835e-07,3.30066119931007,1035,876
175,1.06681859963851e-06,3.27077816827022e-07,8.74937834604237e-08,2.33498023366349e-07,3.28366672694551,1035,876
176,1.0645244761248e-06,3.26418063984006e-07,8.72573960891342e-08,2.3219631544982e-07,3.26684633171033,1035,876
177,1.06225882372675e-06,3.25764655440069e-07,8.70231729923506e-08,2.3090777069489e-07,3.25019735284684,1035,876
178,1.06001773403821e-06,3.25117564187361e-07,8.67911021637811e-08,2.29632187564034e-07,3.2337171835751,1035,876
179,1.05780130536429e-06,3.24476742860596e-07,8.6561167253258e-08,2.28369368524614e-07,3.21740326972088,1035,876
180,1.05561009285943e-06,3.23842134043813e-07,8.63333502286886e-08,2.27119122571958e-07,3.20125310838648,1035,876
181,1.05344578536371e-06,3.23213805537817e-07,8.61076323928725e-08,2.25881264591622e-07,3.18526424667152,1035,876
182,1.05131637657054e-06,3.22591643648111e-07,8.58839156242384e-08,2.2465562244134e-07,3.1694342801959,1035,876
183,1.04921178362421e-06,3.21975194891364e-07,8.56620386579073e-08,2.23441974911988e-07,3.15376085188348,1035,876
184,1.04713314567854e-06,3.2136426983547e-07,8.54420178583551e-08,2.22240063160328e-07,3.13824165165613,1035,876
185,1.04508020528005e-06,3.20758926002975e-07,8.52239325869736e-08,2.21049710091547e-07,3.12287441514604,1035,876
186,1.04305404286932e-06,3.20159203988259e-07,8.50077924922298e-08,2.19870808743336e-07,3.10765692169787,1035,876
187,1.04105334039703e-06,3.19565073770489e-07,8.47935870929853e-08,2.18703233501462e-07,3.09258699338625,1035,876
188,1.03907487763919e-06,3.18977014898253e-07,8.45812968400221e-08,2.17546836055328e-07,3.07766249437748,1035,876
189,1.03711974944335e-06,3.18393332214735e-07,8.4370085575451e-08,2.16402092103563e-07,3.06288133132966,1035,876
190,1.03518797842117e-06,3.17813556389711e-07,8.41603310748919e-08,2.15268236395413e-07,3.04824144524287,1035,876
191,1.03327702192884e-06,3.17239312781791e-07,8.39529521283839e-08,2.14144243740521e-07,3.03374082082917,1035,876
