"stop_names","label","line_nbr","direction","passengers_in","passengers_out","travel_time","stopping_time","flow_l_in","flow_l_out","flow_n_in","transfers_in","transfers_in%","diff_in","err_in%","flow_n_out","transfers_out","transfers_out%","diff_out","err_out%"
"S69_A_SAVOI_N","Savoie",69,"A",163.21939,1394.6428,47.1216047844505,14.2148719,132.715892,1425.146298,132.957,0,0,0.241,0.182,219.986,1204.542,84.521,-0.618,-0.043
"S69_A_CROIX_O","Lutry, Croix/Lutry",69,"A",484.3899,2601.644,33.0676646706587,25.0072265,453.886402,2632.147498,454.71,0,0,0.824,0.182,2624.757,0,0,-7.39,-0.281
"S69_A_ECHER_O","Lutry, Echerins",69,"A",25.094988,91.56191,122.589889521259,7.9976048,0,127.473918,0,0,NA,0,NA,127.116,0,0,-0.358,-0.281
"S69_A_LANDA_E","Lutry, Landar",69,"A",0,1344.5298,NA,15.7539337,0,1375.033298,0,0,NA,0,NA,1371.173,0,0,-3.86,-0.281
"S69_R_LANDA_E","Lutry, Landar",69,"R",2081.261,0,136.531296795448,785.3115638,2144.33050961111,0,2148.217,0,0,3.886,0.181,0,0,NA,0,NA
"S69_R_ECHER_E","Lutry, Echerins",69,"R",52.42374,134.52615,41.8122192273136,9.0155735,115.493249611111,71.4566403888889,115.709,0,0,0.216,0.187,71.256,0,0,-0.201,-0.281
"S69_R_CROIX_S","Lutry, Croix/Lutry",69,"R",2364.3394,570.3512,31.6656680647094,33.2545672,2427.40890961111,507.281690388889,1944.403,486.676,20.049,3.67,0.151,505.857,0,0,-1.425,-0.281
"S69_R_SAVOI_S","Savoie",69,"R",1110.6569,78.42375,107.672160623314,14.6339125,1173.72640961111,15.3542403888889,1175.947,0,0,2.221,0.189,15.311,0,0,-0.043,-0.28
"S69_R_BRELA_S","Brélaz",69,"R",705.74255,238.44754,43.2621330137807,17.4689841,768.812059611111,175.378030388889,770.267,0,0,1.455,0.189,174.886,0,0,-0.492,-0.281
"S69_R_GVESS_S","Gravesse",69,"R",167.9864,25.223743,40.8891551827442,9.5503295,268.901676222222,0,269.411,0,0,0.509,0.189,0,0,NA,0,NA
"S69_R_SAVUI_S","Savuit-Place",69,"R",239.39282,310.62372,92.2177950868784,18.832834,302.462329611111,247.554210388889,303.035,0,0,0.573,0.189,246.859,0,0,-0.695,-0.281
"S69_R_LYGAR_O","Lutry, gare",69,"R",118.29045,2316.5652,46.4017375674056,27.1518874,181.359959611111,2253.49569038889,181.706,0,0,0.346,0.191,2247.169,0,0,-6.327,-0.281
"S69_R_CHAMP_S","Les Champs",69,"R",106.67377,2884.915,159.08726715999,31.4103715,169.743279611111,2821.84549038889,149.332,20.71,12.201,0.299,0.176,2813.923,0,0,-7.922,-0.281
"S69_R_LPORT_B","Lutry, Port",69,"R",0,1522.9419,NA,14.344986,0,1459.87239038889,0,0,NA,0,NA,1009.288,447.743,30.67,-2.841,-0.195
"S70_A_R-CFF_F","Renens-Gare",70,"A",1624735.5,0,86.7557081335825,246.7142305,1624733.40871429,0,1619725.219,447.743,0.028,-4560.447,-0.281,0,0,NA,0,NA
