"it_algo","diff_f","diff_g","error_in","error_out","max_diff_flow","couple_1","couple_2"
205,1.28840083731382e-06,2.64055310869452e-07,6.25270169947778e-08,1.95516147151653e-07,2.42924017581163,1035,876
206,1.28243932149915e-06,2.64915751123235e-07,6.27184971633868e-08,1.94305690579144e-07,2.41736277209128,1035,876
207,1.27706215863321e-06,2.64779527233643e-07,6.28267904373887e-08,1.92962396952338e-07,2.40560350510913,1035,876
208,1.27183981741802e-06,2.64357544628313e-07,6.28503077860195e-08,1.916689922865e-07,2.39395857008174,1035,876
209,1.26681160648612e-06,2.63848797146957e-07,6.28281747086591e-08,1.90403970089138e-07,2.38242589735972,1035,876
210,1.26187391956942e-06,2.63294003136668e-07,6.27833541242747e-08,1.89149430068624e-07,2.3710038003681,1035,876
211,1.25700422511658e-06,2.62712698620492e-07,6.27266146743897e-08,1.87903390776627e-07,2.35969066099585,1035,876
212,1.25220201381651e-06,2.6211756037448e-07,6.26631731607428e-08,1.86667176418782e-07,2.34848489150136,1035,876
213,1.24746784948996e-06,2.61516117966692e-07,6.25958356745155e-08,1.8544204077362e-07,2.33738494940218,1035,876
214,1.24280275749175e-06,2.60913084404486e-07,6.25262763761219e-08,1.84228626585414e-07,2.32638933136786,1035,876
215,1.23820796126387e-06,2.60311402553659e-07,6.24555522374269e-08,1.83027210380556e-07,2.31549656829708,1035,876
216,1.23368549017522e-06,2.597199220067e-07,6.23843432115766e-08,1.81837894014051e-07,2.30470522109266,1035,876
217,1.22924024586113e-06,2.59143680022466e-07,6.23130904543393e-08,1.80659883664742e-07,2.29401388083016,1035,876
218,1.22486362552459e-06,2.58563133004852e-07,6.22420647018516e-08,1.79492110538609e-07,2.2834211662074,1035,876
219,1.22055515638081e-06,2.57987171890855e-07,6.21714155034908e-08,1.78336086654473e-07,2.27292571469116,1035,876
220,1.21631353638203e-06,2.57416525831914e-07,6.2101272730289e-08,1.77191876022357e-07,2.26252619170521,1035,876
221,1.21213811057252e-06,2.56851671574967e-07,6.20317184756215e-08,1.76059470870599e-07,2.25222128733196,1035,876
222,1.20802618267151e-06,2.56292717013791e-07,6.19628006302985e-08,1.74938735639623e-07,2.24200971574862,1035,876
223,1.20397930167245e-06,2.55739720253246e-07,6.18945483717631e-08,1.73829418424211e-07,2.23189021468795,1035,876
224,1.19999612956659e-06,2.55193134339434e-07,6.18269374362073e-08,1.7273138476053e-07,2.22186154472871,1035,876
