"stop_names","label","line_nbr","direction","passengers_in","passengers_out","travel_time","stopping_time","flow_l_in","flow_l_out"
"S6_R_B-AIR_O","Bel-Air",6,"R",181135.27,159284.78,79.6288861625206,40.6821149,181105.662289583,159314.387710417
"S6_R_CH_O","Chauderon",6,"R",118765.484,177081.4,73.9351422898742,52.2503076,118735.876289583,177111.007710417
"S6_R_PT-CH_S","Pont Chauderon",6,"R",113816.33,27919.137,76.3028172822149,34.0251601,113786.722289583,27948.7447104167
"S6_R_CECIL_S","Cécil",6,"R",72426.2,101245.195,90.7924145761246,30.3960688,72396.5922895833,101274.802710417
"S6_R_M-DUF_S","Pont Marc Dufour",6,"R",37176.07,75241.39,52.182054545947,29.7668685,37146.4622895833,75270.9977104167
"S6_R_LGDOC_S","Languedoc",6,"R",3833.1719,55229.504,52.1557001491121,23.8911789,3803.56418958333,55259.1117104167
"S6_R_FNAY_O","Fontenay",6,"R",5272.689,93613.89,46.7792013898314,33.3330622,5243.08128958334,93643.4977104167
"S6_R_MT-OR_O","Mont d'Or",6,"R",5495.879,69416.51,48.7833545970303,24.1840984,5466.27128958333,69446.1177104167
"S6_R_FIGUI_O","Figuiers",6,"R",2845.0408,105947.766,68.630372259605,31.5103016,2815.43308958334,105977.373710417
"S6_R_MTOIE_O","Montoie",6,"R",3169.646,86897.72,73.365017455815,30.9617701,3140.03828958333,86927.3277104167
"S6_R_MALAD_N","Maladière",6,"R",0,146957.39,NA,12.9539876,0,146986.997710417
"S7_R_VVERT_T","Pully, Val-Vert",7,"A",300420.53,0,125.551422464135,518.3792647,300364.370709524,0
"S7_R_ROS_O","Rosiaz",7,"A",84511.59,5066.399,60.9886513882768,26.3309681,84455.4307095238,5122.55829047619
"S7_R_CDRTT_O","Coudrette",7,"A",82894.9,4337.169,47.8664624336059,26.3233363,82838.7407095238,4393.32829047619
"S7_R_CHLYV_O","Chailly-Village",7,"A",189440.81,14098.16,94.2680271509168,32.8592775,189384.650709524,14154.3192904762
"S7_R_PCHLY_O","Pont de Chailly",7,"A",588797.4,91783.38,76.5920959929546,54.800952,588741.240709524,91839.5392904762
"S7_R_FAUCO_O","Fauconnières",7,"A",93841.65,16006.258,86.0987890797006,32.6051079,93785.4907095238,16062.4172904762
"S7_R_BETHU_O","Béthusy",7,"A",100522.4,87429.72,88.2734137642552,38.4489872,100466.240709524,87485.8792904762
"S7_R_OURS_O","Ours",7,"A",61098.133,369619.38,149.02931689643,57.6207124,61041.9737095238,369675.539290476
"S7_R_BESS_S","Bessières",7,"A",76184.45,253880.08,129.297772178756,68.8464784,76128.2907095238,253936.239290476
"S7_A_SF_O","St-François",7,"A",243777.316,456770.6696,141.861841805334,67.0682041,243721.156709524,456826.828890476
"S7_A_B-AIR_N","Bel-Air",7,"A",321185.2,219211.5,141.727869300704,73.0593116,321129.040709524,219267.659290476
