"code_arret_theo","libelle_arret_theo","lat_arret","lon_arret"
"BOVRE_S","""Boveresses""",46.534935,6.662922
"GARE_C ","""Lausanne-Gare""",46.51746,6.62963
"CHT_D  ","""Chalet-à-Gobet""",46.5648,6.693522
"MGOUL_N","""Mont-Goulin""",46.538914,6.610953
"CHFON_N","""Lausanne, Chalet-Fontaine""",46.56773,6.69973
"LANDA_P","""Lutry, Landar""",46.51765,6.690549
"BLESS_E","""Belmont-s-L., Blessoney""",46.51895,6.684341
"VCLB_N ","""Vers-chez-les-Blanc""",46.554672,6.694849
"DPLES_N","""Dapples""",46.51449,6.625556
"MEZ-S_S","""Mézières VD, station""",46.599335,6.771744
"RIONZ_S","""Rionzi""",46.54337,6.632749
"MBNON_B","""Montbenon""",46.51979,6.629986
"MORRE_P","""Morrens VD, Village""",46.5912,6.626502
"PDETT_E","""Perraudettaz""",46.513836,6.654403
"OIS_N  ","""Oiseaux""",46.530895,6.629559
"DRANS_S","""Dranse""",46.530136,6.616379
"GMONT_N","""Grand-Mont""",46.563522,6.633987
"PERRL_N","""Perrelet""",46.530727,6.598812
"MUSEO_E","""Musée Olympique""",46.50929,6.63568
"CERIS_R","""Cerisaie""",46.52804,6.566803
"R-PIS_N","""Renens, Piscine""",46.530483,6.585117
"MAROL_S","""Margerol""",46.51987,6.660832
"SUCHF_S","""Suchet-Forêt""",46.5399,6.570992
"MOUD_N ","""Moudon, Gare""",46.66778,6.802155
"RENGE_S","""Renges""",46.52261,6.554444
"MALF_D ","""Maladière-Figuiers""",46.516987,6.605437
"CASC_S ","""Cascades""",46.540066,6.640881
"BNIER_O","""Bourdonnière""",46.506523,6.647018
"SYENS_S","""Syens, Champ-du-Chêne""",46.643566,6.783619
"R-14A_E","""Renens-14 Avril""",46.53932,6.579723
"EGLAN_O","""Eglantine""",46.51674,6.64103
"PEREA_E","""Perréaz""",46.53712,6.602024
"SORBI_N","""Moudon, Sorbiers""",46.662064,6.795219
"MLINE_F","""UNIL-Mouline""",46.525036,6.57965
"FLON_U ","""Lausanne-Flon""",46.521427,6.629792
"SCIO_E ","""Siège du CIO""",46.51754,6.599017
"COLL_O ","""Colladon""",46.51812,6.562298
"BOVRE_N","""Boveresses""",46.53577,6.664109
"VINET_E","""Vinet""",46.526,6.629124
"BESS_M ","""Bessières""",46.52129,6.636884
"BERG_O ","""Bergières""",46.531006,6.61823
"BELMT_E","""Belmont-s-L., Centre""",46.51903,6.678984
"CX-OR_E","""Carrouge VD, Croix d'Or""",46.598618,6.764353
"BOTTE_M","""Bottens, croisée""",46.61685,6.660099
"ZING_O ","""Zinguerie""",46.54415,6.570116
"BELVO_D","""Bellevaux""",46.53881,6.633938
"B-AIR_D","""Bel-Air""",46.52263,6.629109
"CHAND_O","""Chandolin""",46.517544,6.644511
"MUDM_S ","""Musée de la Main""",46.524345,6.640579
"VERRI_O","""Verrière""",46.506092,6.670293
"BRELA_N","""Brélaz""",46.513165,6.697544
"MREPO_E","""Mon Repos""",46.518726,6.641196
"GBORD_N","""Grande-Borde""",46.52989,6.631933
"GVIGN_N","""Grand Vigne""",46.531635,6.603647
"ULAC_O ","""Sports UNIL-EPFL""",46.521053,6.586008
"BRUY_E ","""Bruyère""",46.524014,6.663014
"MBLES_O","""Montblesson, Centenaire""",46.536503,6.677526
"CH_B   ","""Chauderon""",46.523373,6.626531
"LGDOC_N","""Languedoc""",46.51812,6.616771
"SALA_A ","""Sallaz""",46.532513,6.646702
"FLORI_E","""Florissant""",46.53231,6.598501
"LAC_O  ","""Rue du Lac""",46.527256,6.592662
"RENTE_E","""Rente""",46.55709,6.562513
"MORGS_E","""Morrens VD, Grande Salle""",46.5899,6.626783
"RAMUZ_O","""C. F. Ramuz""",46.509563,6.648055
"GCHAM_O","""Belmont-s-L., Grands-Champs""",46.523106,6.677194
"GREY_O ","""Grey""",46.533638,6.618894
"VIGIE_R","""Vigie""",46.521694,6.623467
"FLUM_N ","""Flumeaux""",46.530712,6.601341
"SABL_O ","""Sablons""",46.52272,6.595014
"MOULN_O","""Mouline""",46.526157,6.579502
"CDRY_S ","""Caudray""",46.531822,6.586243
"PBERT_S","""Praz-Berthoud""",46.536972,6.647901
"BOISY_N","""Boisy""",46.533756,6.620287
"BLIJO_D","""Beaulieu-Jomini""",46.52754,6.626481
"PRY-C_O","""Prilly, Centre""",46.53444,6.605494
"EPFL_E ","""EPFL""",46.522057,6.566548
"SPAUL_A","""St-Paul""",46.52707,6.617794
"BOSON_M","""Bossons""",46.53929,6.617231
"BSITE_N","""Beau-Site""",46.535213,6.620773
"LANDA_O","""Lutry, Landar""",46.51785,6.689296
"BGARD_E","""Beauregard""",46.512478,6.623645
"R-14A_S","""Renens-14 Avril""",46.53904,6.57935
"BVE_E  ","""Bellerive""",46.51124,6.617735
"PRY_B  ","""Prilly, Eglise""",46.539047,6.598826
"BGENT_S","""Bois-Gentil""",46.53851,6.622223
"ARGAN_S","""Argand""",46.520386,6.57184
"BOISV_E","""Bois de Vaux""",46.518864,6.600404
"CPEAG_M","""Croix-Péage""",46.561058,6.565944
"MALA_M ","""Maladière-Marbrerie""",46.517773,6.602493
"20P2_O ","""EPFL, Parking P2""",46.51812,6.562298
"BNETT_F","""Bourdonnette""",46.523426,6.590741
